"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2022,"10001",1,1,"dilluns","Mesura no disponible"
2022,"10001",1,2,"laborables","Mesura no disponible"
2022,"10001",1,3,"divendres","Mesura no disponible"
2022,"10001",1,4,"dissabte","Mesura no disponible"
2022,"10001",1,5,"diumenge","Mesura no disponible"
2022,"10001",2,1,"dilluns","Mesura no disponible"
2022,"10001",2,2,"laborables","Mesura no disponible"
2022,"10001",2,3,"divendres","Mesura no disponible"
2022,"10001",2,4,"dissabte","Mesura no disponible"
2022,"10001",2,5,"diumenge","Mesura no disponible"
2022,"10001",3,1,"dilluns","Mesura no disponible"
2022,"10001",3,2,"laborables","Mesura no disponible"
2022,"10001",3,3,"divendres","Mesura no disponible"
2022,"10001",3,4,"dissabte","Mesura no disponible"
2022,"10001",3,5,"diumenge","Mesura no disponible"
2022,"10001",4,1,"dilluns","Mesura no disponible"
2022,"10001",4,2,"laborables","Mesura no disponible"
2022,"10001",4,3,"divendres","Mesura no disponible"
2022,"10001",4,4,"dissabte","Mesura no disponible"
2022,"10001",4,5,"diumenge","Mesura no disponible"
2022,"10001",5,1,"dilluns","Mesura no disponible"
2022,"10001",5,2,"laborables","Mesura no disponible"
2022,"10001",5,3,"divendres","Mesura no disponible"
2022,"10001",5,4,"dissabte","Mesura no disponible"
2022,"10001",5,5,"diumenge","Mesura no disponible"
2022,"10001",6,1,"dilluns","Mesura no disponible"
2022,"10001",6,2,"laborables","Mesura no disponible"
2022,"10001",6,3,"divendres","Mesura no disponible"
2022,"10001",6,4,"dissabte","Mesura no disponible"
2022,"10001",6,5,"diumenge","Mesura no disponible"
2022,"10001",7,1,"dilluns","Mesura no disponible"
2022,"10001",7,2,"laborables","Mesura no disponible"
2022,"10001",7,3,"divendres","Mesura no disponible"
2022,"10001",7,4,"dissabte","Mesura no disponible"
2022,"10001",7,5,"diumenge","Mesura no disponible"
2022,"10001",8,1,"dilluns","Mesura no disponible"
2022,"10001",8,2,"laborables","Mesura no disponible"
2022,"10001",8,3,"divendres","Mesura no disponible"
2022,"10001",8,4,"dissabte","Mesura no disponible"
2022,"10001",8,5,"diumenge","Mesura no disponible"
2022,"10001",9,1,"dilluns","Mesura no disponible"
2022,"10001",9,2,"laborables","Mesura no disponible"
2022,"10001",9,3,"divendres","Mesura no disponible"
2022,"10001",9,4,"dissabte","Mesura no disponible"
2022,"10001",9,5,"diumenge","Mesura no disponible"
2022,"10001",10,1,"dilluns", 10280
2022,"10001",10,2,"laborables", 11205
2022,"10001",10,3,"divendres", 10390
2022,"10001",10,4,"dissabte", 8980
2022,"10001",10,5,"diumenge", 6794
2022,"10001",11,1,"dilluns", 8611
2022,"10001",11,2,"laborables", 9092
2022,"10001",11,3,"divendres", 9519
2022,"10001",11,4,"dissabte", 7834
2022,"10001",11,5,"diumenge", 5263
2022,"10001",12,1,"dilluns", 9804
2022,"10001",12,2,"laborables", 9857
2022,"10001",12,3,"divendres", 9939
2022,"10001",12,4,"dissabte", 8478
2022,"10001",12,5,"diumenge", 6613
2022,"10002",1,1,"dilluns", 14907
2022,"10002",1,2,"laborables", 15084
2022,"10002",1,3,"divendres", 15644
2022,"10002",1,4,"dissabte", 12937
2022,"10002",1,5,"diumenge", 10068
2022,"10002",2,1,"dilluns", 16187
2022,"10002",2,2,"laborables", 16894
2022,"10002",2,3,"divendres", 17723
2022,"10002",2,4,"dissabte", 14711
2022,"10002",2,5,"diumenge", 12968
2022,"10002",3,1,"dilluns", 16450
2022,"10002",3,2,"laborables", 17130
2022,"10002",3,3,"divendres", 17844
2022,"10002",3,4,"dissabte", 14737
2022,"10002",3,5,"diumenge", 12422
2022,"10002",4,1,"dilluns", 16607
2022,"10002",4,2,"laborables", 16972
2022,"10002",4,3,"divendres", 18775
2022,"10002",4,4,"dissabte", 15170
2022,"10002",4,5,"diumenge", 11532
2022,"10002",5,1,"dilluns", 17104
2022,"10002",5,2,"laborables", 17539
2022,"10002",5,3,"divendres", 18294
2022,"10002",5,4,"dissabte", 16000
2022,"10002",5,5,"diumenge", 13102
2022,"10002",6,1,"dilluns", 17762
2022,"10002",6,2,"laborables", 17927
2022,"10002",6,3,"divendres", 19267
2022,"10002",6,4,"dissabte", 15855
2022,"10002",6,5,"diumenge", 13733
2022,"10002",7,1,"dilluns", 17321
2022,"10002",7,2,"laborables", 17868
2022,"10002",7,3,"divendres", 18737
2022,"10002",7,4,"dissabte", 15596
2022,"10002",7,5,"diumenge", 13459
2022,"10002",8,1,"dilluns", 14648
2022,"10002",8,2,"laborables", 14227
2022,"10002",8,3,"divendres", 14299
2022,"10002",8,4,"dissabte", 12175
2022,"10002",8,5,"diumenge", 10223
2022,"10002",9,1,"dilluns", 16735
2022,"10002",9,2,"laborables", 16867
2022,"10002",9,3,"divendres", 17369
2022,"10002",9,4,"dissabte", 14739
2022,"10002",9,5,"diumenge", 12432
2022,"10002",10,1,"dilluns", 16194
2022,"10002",10,2,"laborables", 17122
2022,"10002",10,3,"divendres", 17895
2022,"10002",10,4,"dissabte", 15445
2022,"10002",10,5,"diumenge", 12604
2022,"10002",11,1,"dilluns", 15839
2022,"10002",11,2,"laborables", 16576
2022,"10002",11,3,"divendres", 17071
2022,"10002",11,4,"dissabte", 15490
2022,"10002",11,5,"diumenge", 11865
2022,"10002",12,1,"dilluns", 16216
2022,"10002",12,2,"laborables", 16137
2022,"10002",12,3,"divendres", 16615
2022,"10002",12,4,"dissabte", 14137
2022,"10002",12,5,"diumenge", 10915
2022,"10005",1,1,"dilluns", 6440
2022,"10005",1,2,"laborables", 6524
2022,"10005",1,3,"divendres", 6528
2022,"10005",1,4,"dissabte", 4776
2022,"10005",1,5,"diumenge", 3464
2022,"10005",2,1,"dilluns", 6657
2022,"10005",2,2,"laborables", 7058
2022,"10005",2,3,"divendres", 7331
2022,"10005",2,4,"dissabte", 5354
2022,"10005",2,5,"diumenge", 3753
2022,"10005",3,1,"dilluns", 6658
2022,"10005",3,2,"laborables", 6984
2022,"10005",3,3,"divendres", 7263
2022,"10005",3,4,"dissabte", 5197
2022,"10005",3,5,"diumenge", 3729
2022,"10005",4,1,"dilluns", 6261
2022,"10005",4,2,"laborables", 6525
2022,"10005",4,3,"divendres", 7242
2022,"10005",4,4,"dissabte", 4976
2022,"10005",4,5,"diumenge", 3289
2022,"10005",5,1,"dilluns", 6422
2022,"10005",5,2,"laborables", 6734
2022,"10005",5,3,"divendres", 7259
2022,"10005",5,4,"dissabte", 4989
2022,"10005",5,5,"diumenge", 3860
2022,"10005",6,1,"dilluns", 6520
2022,"10005",6,2,"laborables", 6762
2022,"10005",6,3,"divendres", 7179
2022,"10005",6,4,"dissabte", 4565
2022,"10005",6,5,"diumenge", 3174
2022,"10005",7,1,"dilluns", 6038
2022,"10005",7,2,"laborables", 6382
2022,"10005",7,3,"divendres", 6855
2022,"10005",7,4,"dissabte", 4364
2022,"10005",7,5,"diumenge", 3229
2022,"10005",8,1,"dilluns", 4751
2022,"10005",8,2,"laborables", 4684
2022,"10005",8,3,"divendres", 4594
2022,"10005",8,4,"dissabte", 3593
2022,"10005",8,5,"diumenge", 2861
2022,"10005",9,1,"dilluns", 6304
2022,"10005",9,2,"laborables", 6432
2022,"10005",9,3,"divendres", 6831
2022,"10005",9,4,"dissabte", 4475
2022,"10005",9,5,"diumenge", 3429
2022,"10005",10,1,"dilluns", 6165
2022,"10005",10,2,"laborables", 6865
2022,"10005",10,3,"divendres", 7726
2022,"10005",10,4,"dissabte", 5100
2022,"10005",10,5,"diumenge", 3615
2022,"10005",11,1,"dilluns", 6877
2022,"10005",11,2,"laborables", 7037
2022,"10005",11,3,"divendres", 7656
2022,"10005",11,4,"dissabte", 5950
2022,"10005",11,5,"diumenge", 4509
2022,"10005",12,1,"dilluns", 6242
2022,"10005",12,2,"laborables", 6236
2022,"10005",12,3,"divendres", 6285
2022,"10005",12,4,"dissabte", 4986
2022,"10005",12,5,"diumenge", 3591
2022,"10008",1,1,"dilluns", 4373
2022,"10008",1,2,"laborables", 3553
2022,"10008",1,3,"divendres", 3604
2022,"10008",1,4,"dissabte", 2666
2022,"10008",1,5,"diumenge", 3011
2022,"10008",2,1,"dilluns", 3605
2022,"10008",2,2,"laborables", 3705
2022,"10008",2,3,"divendres", 3856
2022,"10008",2,4,"dissabte", 2903
2022,"10008",2,5,"diumenge", 2452
2022,"10008",3,1,"dilluns", 3633
2022,"10008",3,2,"laborables", 3674
2022,"10008",3,3,"divendres", 3949
2022,"10008",3,4,"dissabte", 3082
2022,"10008",3,5,"diumenge", 2339
2022,"10008",4,1,"dilluns", 3421
2022,"10008",4,2,"laborables", 3589
2022,"10008",4,3,"divendres", 3966
2022,"10008",4,4,"dissabte", 2921
2022,"10008",4,5,"diumenge", 2182
2022,"10008",5,1,"dilluns", 3588
2022,"10008",5,2,"laborables", 3668
2022,"10008",5,3,"divendres", 3888
2022,"10008",5,4,"dissabte", 2913
2022,"10008",5,5,"diumenge", 2743
2022,"10008",6,1,"dilluns", 3623
2022,"10008",6,2,"laborables", 3673
2022,"10008",6,3,"divendres", 3753
2022,"10008",6,4,"dissabte", 2757
2022,"10008",6,5,"diumenge", 2348
2022,"10008",7,1,"dilluns", 3384
2022,"10008",7,2,"laborables", 3428
2022,"10008",7,3,"divendres", 3434
2022,"10008",7,4,"dissabte", 2480
2022,"10008",7,5,"diumenge", 2438
2022,"10008",8,1,"dilluns", 2846
2022,"10008",8,2,"laborables", 2791
2022,"10008",8,3,"divendres", 2701
2022,"10008",8,4,"dissabte", 2244
2022,"10008",8,5,"diumenge", 1978
2022,"10008",9,1,"dilluns", 3732
