"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2021,"10001",1,1,"dilluns", 6901
2021,"10001",1,2,"laborables", 6990
2021,"10001",1,3,"divendres", 6970
2021,"10001",1,4,"dissabte", 3900
2021,"10001",1,5,"diumenge", 2917
2021,"10001",2,1,"dilluns", 7006
2021,"10001",2,2,"laborables", 7250
2021,"10001",2,3,"divendres", 7523
2021,"10001",2,4,"dissabte", 4390
2021,"10001",2,5,"diumenge", 3142
2021,"10001",3,1,"dilluns", 7315
2021,"10001",3,2,"laborables", 7498
2021,"10001",3,3,"divendres", 8223
2021,"10001",3,4,"dissabte", 4918
2021,"10001",3,5,"diumenge", 3221
2021,"10001",4,1,"dilluns", 7444
2021,"10001",4,2,"laborables", 7663
2021,"10001",4,3,"divendres", 8102
2021,"10001",4,4,"dissabte", 4590
2021,"10001",4,5,"diumenge", 3305
2021,"10001",5,1,"dilluns", 7515
2021,"10001",5,2,"laborables", 7821
2021,"10001",5,3,"divendres", 8191
2021,"10001",5,4,"dissabte", 5585
2021,"10001",5,5,"diumenge", 3830
2021,"10001",6,1,"dilluns", 7709
2021,"10001",6,2,"laborables", 8265
2021,"10001",6,3,"divendres", 8044
2021,"10001",6,4,"dissabte", 5388
2021,"10001",6,5,"diumenge", 3788
2021,"10001",7,1,"dilluns", 7147
2021,"10001",7,2,"laborables", 7433
2021,"10001",7,3,"divendres", 8065
2021,"10001",7,4,"dissabte", 4749
2021,"10001",7,5,"diumenge", 3362
2021,"10001",8,1,"dilluns", 5256
2021,"10001",8,2,"laborables", 5136
2021,"10001",8,3,"divendres", 5130
2021,"10001",8,4,"dissabte", 3810
2021,"10001",8,5,"diumenge", 2964
2021,"10001",9,1,"dilluns", 7234
2021,"10001",9,2,"laborables", 7637
2021,"10001",9,3,"divendres", 8245
2021,"10001",9,4,"dissabte", 4923
2021,"10001",9,5,"diumenge", 3896
2021,"10001",10,1,"dilluns", 7157
2021,"10001",10,2,"laborables", 7627
2021,"10001",10,3,"divendres", 8519
2021,"10001",10,4,"dissabte", 5498
2021,"10001",10,5,"diumenge", 4124
2021,"10001",11,1,"dilluns", 7409
2021,"10001",11,2,"laborables", 7553
2021,"10001",11,3,"divendres", 9557
2021,"10001",11,4,"dissabte", 6097
2021,"10001",11,5,"diumenge", 4142
2021,"10001",12,1,"dilluns", 6795
2021,"10001",12,2,"laborables", 7234
2021,"10001",12,3,"divendres", 8070
2021,"10001",12,4,"dissabte", 6179
2021,"10001",12,5,"diumenge", 4060
2021,"10002",1,1,"dilluns", 13293
2021,"10002",1,2,"laborables", 13000
2021,"10002",1,3,"divendres", 13342
2021,"10002",1,4,"dissabte", 8345
2021,"10002",1,5,"diumenge", 7301
2021,"10002",2,1,"dilluns", 12782
2021,"10002",2,2,"laborables", 13802
2021,"10002",2,3,"divendres", 14086
2021,"10002",2,4,"dissabte", 9554
2021,"10002",2,5,"diumenge", 7878
2021,"10002",3,1,"dilluns", 13696
2021,"10002",3,2,"laborables", 14198
2021,"10002",3,3,"divendres", 14820
2021,"10002",3,4,"dissabte", 10869
2021,"10002",3,5,"diumenge", 8790
2021,"10002",4,1,"dilluns", 13744
2021,"10002",4,2,"laborables", 13906
2021,"10002",4,3,"divendres", 14945
2021,"10002",4,4,"dissabte", 10237
2021,"10002",4,5,"diumenge", 8252
2021,"10002",5,1,"dilluns", 14777
2021,"10002",5,2,"laborables", 15428
2021,"10002",5,3,"divendres", 16534
2021,"10002",5,4,"dissabte", 13310
2021,"10002",5,5,"diumenge", 10507
2021,"10002",6,1,"dilluns", 16858
2021,"10002",6,2,"laborables", 16826
2021,"10002",6,3,"divendres", 17104
2021,"10002",6,4,"dissabte", 14557
2021,"10002",6,5,"diumenge", 12614
2021,"10002",7,1,"dilluns", 15888
2021,"10002",7,2,"laborables", 16271
2021,"10002",7,3,"divendres", 16724
2021,"10002",7,4,"dissabte", 13831
2021,"10002",7,5,"diumenge", 12696
2021,"10002",8,1,"dilluns", 13084
2021,"10002",8,2,"laborables", 12924
2021,"10002",8,3,"divendres", 13460
2021,"10002",8,4,"dissabte", 11304
2021,"10002",8,5,"diumenge", 10345
2021,"10002",9,1,"dilluns", 15834
2021,"10002",9,2,"laborables", 16316
2021,"10002",9,3,"divendres", 17085
2021,"10002",9,4,"dissabte", 13671
2021,"10002",9,5,"diumenge", 11767
2021,"10002",10,1,"dilluns", 15962
2021,"10002",10,2,"laborables", 16734
2021,"10002",10,3,"divendres", 17955
2021,"10002",10,4,"dissabte", 14288
2021,"10002",10,5,"diumenge", 10983
2021,"10002",11,1,"dilluns", 15978
2021,"10002",11,2,"laborables", 16668
2021,"10002",11,3,"divendres", 17843
2021,"10002",11,4,"dissabte", 15685
2021,"10002",11,5,"diumenge", 11689
2021,"10002",12,1,"dilluns", 15376
2021,"10002",12,2,"laborables", 15744
2021,"10002",12,3,"divendres", 15702
2021,"10002",12,4,"dissabte", 14456
2021,"10002",12,5,"diumenge", 10341
2021,"10005",1,1,"dilluns", 11151
2021,"10005",1,2,"laborables", 11265
2021,"10005",1,3,"divendres", 11866
2021,"10005",1,4,"dissabte", 7093
2021,"10005",1,5,"diumenge", 5934
2021,"10005",2,1,"dilluns", 11097
2021,"10005",2,2,"laborables", 11881
2021,"10005",2,3,"divendres", 12719
2021,"10005",2,4,"dissabte", 8242
2021,"10005",2,5,"diumenge", 6354
2021,"10005",3,1,"dilluns", 11690
2021,"10005",3,2,"laborables", 12008
2021,"10005",3,3,"divendres", 12650
2021,"10005",3,4,"dissabte", 8824
2021,"10005",3,5,"diumenge", 6486
2021,"10005",4,1,"dilluns", 11734
2021,"10005",4,2,"laborables", 11955
2021,"10005",4,3,"divendres", 12906
2021,"10005",4,4,"dissabte", 8521
2021,"10005",4,5,"diumenge", 6472
2021,"10005",5,1,"dilluns", 11901
2021,"10005",5,2,"laborables", 12430
2021,"10005",5,3,"divendres", 12926
2021,"10005",5,4,"dissabte", 9659
2021,"10005",5,5,"diumenge", 7577
2021,"10005",6,1,"dilluns", 12459
2021,"10005",6,2,"laborables", 12760
2021,"10005",6,3,"divendres", 12725
2021,"10005",6,4,"dissabte", 9728
2021,"10005",6,5,"diumenge", 7583
2021,"10005",7,1,"dilluns", 11719
2021,"10005",7,2,"laborables", 11939
2021,"10005",7,3,"divendres", 12104
2021,"10005",7,4,"dissabte", 8650
